comment_id,n_tokens_matched,gioia,tristezza,rabbia,paura,disgusto,fiducia,sorpresa,aspettativa,dominant_emotion
izwsogc,14,5.83,1.42,0.86,1.3800000000000001,0.7,4.33,3.31,6.2,aspettativa
izwe4zp,4,1.71,0.7500000000000001,0.5,0.71,0.12,1.54,0.63,1.71,gioia
izsix4v,11,3.66,1.31,1.9400000000000002,3.43,1.1099999999999999,5.0,3.3,8.14,aspettativa
izrnhcq,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutrale
izrncn5,2,0.59,0.32999999999999996,0.29,0.33,0.17,0.8,0.54,1.25,aspettativa
izps8jv,39,13.019999999999996,9.21,6.61,7.91,5.33,12.460000000000003,9.08,18.169999999999995,aspettativa
iznusqk,7,4.5,1.38,0.84,0.99,0.24000000000000002,3.38,2.12,3.42,gioia
iznp0pr,3,0.44999999999999996,0.58,0.84,0.34,0.16,1.08,0.16,0.76,fiducia
iznc5nw,13,2.96,1.3,1.4899999999999998,1.4000000000000001,1.31,3.1100000000000003,2.61,4.67,aspettativa
izm2blk,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutrale
izkn5g7,10,3.2199999999999998,1.62,1.04,1.7000000000000002,0.49,3.87,1.2000000000000002,3.54,fiducia
izjh92g,5,0.84,0.8700000000000001,0.9900000000000001,2.25,0.7,1.17,1.26,2.37,aspettativa
izj0unb,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutrale
izin3aj,6,1.75,1.8800000000000001,2.04,1.62,0.91,2.37,1.0799999999999998,2.95,aspettativa
izii45h,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutrale
izexuf1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutrale
izdw2tr,5,2.21,0.49,0.58,0.8800000000000001,0.32999999999999996,2.33,1.46,3.25,aspettativa
izbylor,11,3.03,2.17,2.68,2.37,1.37,2.6999999999999997,2.58,4.3,aspettativa
